gene,logFC,PValue,FDR
2700060E02Rik,0.198467443098043,0.197673586884005,1
2700062C07Rik,-0.00476907137934574,0.980967295690141,1
2700081O15Rik,-0.120445504251215,0.220023589649064,1
2700094K13Rik,0.155084767455224,0.156167313558211,1
2700097O09Rik,-0.0759703686754801,0.754714882027304,1
2810004N23Rik,0.256158870610394,0.0813984943314018,1
2810006K23Rik,-0.0214798853182281,0.930314619071195,1
2810021J22Rik,-0.029747461453761,0.87555196885506,1
2810403A07Rik,-0.0975265157891218,0.458816981891608,1
2810408A11Rik,-0.031246439180935,0.889276752552128,1
2810417H13Rik,0.0968718667108839,0.351371049771443,1
2810428I15Rik,0.242199621027571,0.12255494033406,1
2810459M11Rik,0.188715438549287,0.894958404527597,1
2810474O19Rik,-0.223171111197885,0.0521956241213815,1
2900011O08Rik,-0.226284137103706,0.440628184804688,1
2900026A02Rik,0.0620787122135128,0.671882759913167,1
2900055J20Rik,-0.166092569470599,0.909676142252339,1
3010026O09Rik,-0.0190335372712979,0.948359988986131,1
3110001I22Rik,0.0582003875393841,0.853637270142265,1
3110002H16Rik,0.0908979034916808,0.627914556927854,1
3110009E18Rik,0.493357264716928,0.197585474795408,1
3110021N24Rik,-0.0837033310215851,0.895574857272117,1
3110040N11Rik,0.191937010043748,0.331183056345023,1
3110043O21Rik,0.0810204332373015,0.617613652887859,1
3110052M02Rik,0.0509950100059974,0.859279190174256,1
3110062M04Rik,0.0296278260079724,0.887820145147683,1
3110070M22Rik,1.10186992434709,0.0435803891301074,1
3110082I17Rik,0.175521016352339,0.27507698553451,1
3300002I08Rik,-0.383560475559228,0.254027793260516,1
3425401B19Rik,0.608901199461595,0.186700949700392,1
3632451O06Rik,-0.622016039449817,0.0626125669278216,1
3830403N18Rik,-1.19210014779238,0.0715773167170807,1
3830406C13Rik,0.140636086752663,0.344859917320184,1
3830408C21Rik,-0.359834079111744,0.405846113272759,1
4430402I18Rik,0.830585669498687,0.161946617356386,1
4833420G17Rik,-0.00402390607020034,0.974444043984804,1
4833423E24Rik,0.362546543657984,0.381982001902719,1
4833439L19Rik,-0.012441891837443,0.910874307394946,1
4921506M07Rik,-0.0260435506775316,0.928332156040361,1
4921507P07Rik,-0.321535931794362,0.40980130151036,1
4921524J17Rik,0.0814561404956032,0.608310633042269,1
4921536K21Rik,0.104852810281761,0.847591011241625,1
4930402H24Rik,-0.0783752556484398,0.557715448978916,1
4930412O13Rik,-0.669220525909878,0.532997838011015,1
4930415F15Rik,-0.502394394210254,0.665145355541243,1
4930415O20Rik,0.269442156188865,0.795957087192724,1
4930426L09Rik,0.350254632482405,0.712893026542968,1
4930427A07Rik,-0.0230448953198942,0.861041960455279,1
4930430F08Rik,-0.0180919086171489,0.934800446675027,1
4930432K21Rik,0.232453856952549,0.59878712434741,1
4930444P10Rik,-0.50334486068424,0.419748817790566,1
4930447C04Rik,-0.115850937253167,0.721045401617157,1
4930451G09Rik,-0.170012494897601,0.684123655428474,1
4930452B06Rik,-0.0540685004115678,0.735856867895533,1
4930453N24Rik,0.134604646040194,0.216122197973873,1
4930502E18Rik,0.689746092181387,0.303846093783496,1
4930503L19Rik,-0.104189721504984,0.573751369385241,1
4930507D05Rik,-0.353175550002549,0.693427771078374,1
4930518I15Rik,-0.0533719550362991,0.912003741708916,1
4930522L14Rik,0.195826409020272,0.509470918071324,1
4930523C07Rik,0.226648552768407,0.390613397219632,1
4930524J08Rik,0.356859573836509,0.374181405243506,1
4930539E08Rik,0.271754784082907,0.577002544892537,1
4930550C14Rik,0.818248685403329,0.204301935431856,1
4930562C15Rik,-0.551899449040964,0.326735190402317,1
4930563M21Rik,-0.825959314479803,0.148332881355775,1
4930578C19Rik,-0.948215385637304,0.0710074717317421,1
4930579F01Rik,-0.149146750204294,0.75660512199364,1
4930579G24Rik,0.0865258728012639,0.599568672014692,1
4930590J08Rik,0.235249400807772,0.608086818240348,1
4931406C07Rik,0.0873453889913123,0.599455710243868,1
4931406P16Rik,-0.0652568518139301,0.652695619258675,1
4931414P19Rik,0.0462154236355039,0.80163999766265,1
4931422A03Rik,0.0642969805480036,0.942781271752142,1
4931428F04Rik,-0.0892759064705362,0.562846981928021,1
4932438A13Rik,-0.351623367422513,0.0423334146672502,1
4933402D24Rik,-0.00312361212222697,1,1
4933406P04Rik,0.172886272431953,0.738794132758768,1
4933407L21Rik,0.00262392684600106,1,1
4933408B17Rik,-0.351721688127125,0.456962116843903,1
4933408J17Rik,-0.487926024913602,0.536219704933846,1
4933411K16Rik,-1.42045509743051,0.295577341844633,1
4933413G19Rik,-0.605945904366326,0.312219677103836,1
4933415A04Rik,-0.205945260547216,0.693958649497447,1
4933427D14Rik,-0.146194985278544,0.285874936659055,1
4933428G20Rik,-0.319869307169323,0.591295846939089,1
4933430I17Rik,0.131856786135916,0.774128793539918,1
4933434E20Rik,-0.0334142436392595,0.831073634886863,1
5031414D18Rik,0.916835479583728,0.183461948216955,1
5031439G07Rik,-0.125020146827396,0.308042130390391,1
5330417C22Rik,0.0870091304974416,0.866483240089615,1
5430403G16Rik,-0.195170293105083,0.505549168489286,1
5430427O19Rik,0.187980356642745,0.906693654012249,1
5730409E04Rik,0.221008499939441,0.213169708149082,1
5730455P16Rik,0.00480399684735767,0.970259182889057,1
5730507C01Rik,-0.382813674055245,0.455954559919868,1
5730508B09Rik,0.275810856933339,0.327378207247073,1
5730522E02Rik,-0.607076648886623,0.147633417064636,1
5730559C18Rik,-0.0112523677463374,0.947342947337621,1
5830454E08Rik,0.0388212650887424,0.952477685375463,1
5930422O12Rik,-0.088706311471689,0.924166008317348,1
6030419C18Rik,0.0364096219988983,0.905481862978483,1
6030458C11Rik,-0.11010087932494,0.383009372912573,1
6330403A02Rik,-0.375648333119688,0.439272719097132,1
6330408A02Rik,-0.234534460630861,0.0726281622351473,1
6330409D20Rik,-2.21501698432113,0.0316907406290655,1
6330416G13Rik,-0.0604777414032903,0.779241881569088,1
6430548M08Rik,0.0289341628457249,0.928219096559738,1
6430550D23Rik,-0.116633124361757,0.847066064125404,1
6430571L13Rik,-0.442817525725557,0.355740247865715,1
6430573F11Rik,0.126018596642757,0.732695601742086,1
6720489N17Rik,-0.00665582242306246,0.970131118403479,1
6820408C15Rik,-0.984546617068602,0.115786457569249,1
8030462N17Rik,-0.00049261065013766,1,1
8430408G22Rik,0.281911624331971,0.488885534336902,1
9030612E09Rik,0.80119996091488,0.163476307832201,1
9030617O03Rik,0.0872507013734631,0.804054038502331,1
9030624G23Rik,-0.464611076046786,0.200669526384043,1
9030624J02Rik,-0.0626957695308616,0.554120210768912,1
9130008F23Rik,-0.0219158120709931,0.956966786339852,1
9130011E15Rik,0.0905375411341588,0.507443648310108,1
9130019O22Rik,-0.051193571866763,0.844338533205362,1
9130023H24Rik,-0.0273538917506401,0.908334716456855,1
9130401M01Rik,0.178261307171228,0.186837798876781,1
9230110C19Rik,0.0984715220655139,0.53964668467586,1
9330151L19Rik,-0.360712282530465,0.284463999549082,1
9330159F19Rik,-1.21689874032398,0.178985411812694,1
9330161L09Rik,-0.364657088339292,0.599197748763628,1
9330182L06Rik,-0.337843026179369,0.262868460161593,1
9430015G10Rik,-0.0553614959606825,0.728995111312001,1
9430016H08Rik,0.185455018063326,0.223085260555106,1
9430020K01Rik,0.072014862110061,0.799667287213454,1
9430038I01Rik,0.119405953618443,0.583423116626469,1
9530053A07Rik,0.597894993461655,0.482582731371423,1
9530068E07Rik,0.0648350283968997,0.5375881832579,1
9530077C05Rik,-0.179828693764967,0.629781504178097,1
9830147E19Rik,0.0572994521577639,0.807752187857158,1
9930012K11Rik,0.125872618667572,0.639337767508522,1
9930021J03Rik,-0.237576929871468,0.149833292964989,1
9930111J21Rik1,-0.92049414503988,0.194441932375036,1
9930111J21Rik2,-0.206623408894599,0.732773279475625,1
a,0.351587086702218,0.46308645925498,1
A130010J15Rik,-0.0566497237822087,0.737277767096104,1
A130051J06Rik,0.3790679354672,0.413417210721227,1
A230046K03Rik,-0.0964882143413104,0.39721225317887,1
A230050P20Rik,0.0570331093379479,0.900860554736804,1
